release_date,collected_from,collected_to,NGC,target_name,filters,jpeg,proposal
2024-06-22,2024-06-22 16:47:46.741,2024-06-22 18:15:40.200,4654,NGC4654, 150  187  300  335  770 2100,mast:JWST/product/jw03707-o090_t040_nircam_clear-f150w_i2d.jpg,3707
2024-06-21,2024-06-21 00:53:54.498,2024-06-21 02:20:51.701,4689,NGC4689, 150  200  300  335  770 2100,mast:JWST/product/jw03707-o092_t041_nircam_clear-f150w_i2d.jpg,3707
2024-06-20,2023-06-19 18:19:55.843,2023-06-19 19:49:38.521,7172,NGC7172, 560 1000 1500,mast:JWST/product/jw01670-o009_t005_miri_f560w-sub256_i2d.jpg,1670
2024-06-20,2024-06-19 23:00:54.893,2024-06-20 00:04:20.385,5530,NGC5530, 150  187  300  335  770 2100,mast:JWST/product/jw03707-o112_t051_nircam_clear-f150w_i2d.jpg,3707
2024-06-20,2024-06-19 20:01:02.519,2024-06-19 21:56:31.977,4569,NGC4569, 150  187  300  335  770 2100,mast:JWST/product/jw03707-o082_t037_nircam_clear-f150w_i2d.jpg,3707
2024-06-18,2024-06-18 02:47:40.044,2024-06-18 03:46:18.881,4826,NGC4826, 150  187  300  335  770 2100,mast:JWST/product/jw03707-o100_t045_nircam_clear-f150w_i2d.jpg,3707
2024-06-18,2024-06-18 01:22:22.737,2024-06-18 02:21:01.574,4298,NGC4298, 150  187  300  335  770 2100,mast:JWST/product/jw03707-o060_t030_nircam_clear-f150w_i2d.jpg,3707
2024-06-16,2024-06-16 09:32:35.637,2024-06-16 10:31:14.794,4540,NGC4540, 150  187  300  335  770 2100,mast:JWST/product/jw03707-o078_t035_nircam_clear-f150w_i2d.jpg,3707
2024-06-15,2023-06-14 17:50:55.495,2023-06-14 21:11:08.390,5194,NGC5194-NIRCAM,115 150 300 335 444,mast:JWST/product/jw01783-o003_t009_nircam_clear-f115w_i2d.jpg,1783
2024-06-15,2023-06-08 00:36:55.437,2023-06-14 21:11:08.390,5194,NGC5194-NIRCAM,187 200 444,mast:JWST/product/jw01783-o003_t009_nircam_clear-f187n_i2d.jpg,1783
2024-06-14,2024-06-13 17:29:39.490,2024-06-13 18:28:39.255,4424,NGC4424, 150  187  300  335  770 2100,mast:JWST/product/jw03707-o062_t031_nircam_clear-f150w_i2d.jpg,3707
2024-06-14,2024-06-13 13:35:29.136,2024-06-13 17:06:26.396,4536,NGC4536, 150  200  300  335  770 2100,mast:JWST/product/jw03707-o076_t034_nircam_clear-f150w_i2d.jpg,3707
2024-06-14,2024-06-13 19:09:03.197,2024-06-13 21:34:42.316,3621,NGC3621, 150  187  300  335  770 2100,mast:JWST/product/jw03707-o052_t028_nircam_clear-f150w_i2d.jpg,3707
2024-06-14,2024-06-13 22:15:17.174,2024-06-13 22:56:51.015,0,SN2023fyq-imaging,1800 2100 2550,mast:JWST/product/jw06659-o003_t003_miri_f1800w-sub256_i2d.jpg,6659
2024-06-13,2024-06-12 18:04:06.197,2024-06-12 19:31:45.000,4781,NGC4781, 150  187  300  335  770 2100,mast:JWST/product/jw03707-o098_t044_nircam_clear-f150w_i2d.jpg,3707
2024-06-13,2024-06-12 20:05:55.822,2024-06-12 22:23:47.678,5248,NGC5248, 150  187  300  335  770 2100,mast:JWST/product/jw03707-o110_t050_nircam_clear-f150w_i2d.jpg,3707
2024-06-12,2023-06-11 17:03:05.887,2023-06-11 18:15:01.170,4736,M-94-MIRI, 560  770 1130,mast:JWST/product/jw02016-o014_t014_miri_f560w_i2d.jpg,2016
2024-06-11,2023-06-10 15:38:29.064,2023-06-10 16:50:16.027,4395,NGC-4395-MIRI, 560  770 1130,mast:JWST/product/jw02016-o002_t002_miri_f560w_i2d.jpg,2016
2024-06-11,2023-06-11 13:29:27.618,2023-06-11 14:52:23.102,0,IC-860, 770 1000 1130,mast:JWST/product/jw01991-o001_t001_miri_f770w-sub256_i2d.jpg,1991
2024-06-09,2024-06-08 20:10:02.531,2024-06-08 20:34:01.818,4694,NGC4694, 150  187  300  335  770 2100,mast:JWST/product/jw03707-o094_t042_nircam_clear-f150w_i2d.jpg,3707
2024-06-09,2024-06-09 02:27:02.377,2024-06-09 03:23:19.682,0,SN2024GY, 560  770 1000,mast:JWST/product/jw04516-o009_t004_miri_f560w_i2d.jpg,4516
2024-06-09,2024-06-08 15:47:14.354,2024-06-08 17:19:16.837,4571,NGC4571, 150  187  300  335  770 2100,mast:JWST/product/jw03707-o084_t038_nircam_clear-f150w_i2d.jpg,3707
2024-06-09,2024-06-08 17:39:51.724,2024-06-08 19:11:26.430,4579,NGC4579, 150  200  300  335  770 2100,mast:JWST/product/jw03707-o086_t039_nircam_clear-f150w_i2d.jpg,3707
2024-06-09,2024-06-08 23:03:01.401,2024-06-09 00:30:49.932,4941,NGC4941, 150  187  300  335  770 2100,mast:JWST/product/jw03707-o102_t046_nircam_clear-f150w_i2d.jpg,3707
2024-06-09,2024-06-08 21:14:53.215,2024-06-08 22:43:00.050,4731,NGC4731, 150  200  300  335  770 2100,mast:JWST/product/jw03707-o096_t043_nircam_clear-f150w_i2d.jpg,3707
2024-06-09,2023-06-09 02:08:03.681,2023-06-09 04:55:57.297,5194,NGC5194-MIRI,560 770,mast:JWST/product/jw01783-o007_t018_miri_f560w_i2d.jpg,1783
2024-06-09,2024-06-08 12:57:15.836,2024-06-08 15:22:48.940,4548,NGC4548, 150  187  300  335  770 2100,mast:JWST/product/jw03707-o080_t036_nircam_clear-f150w_i2d.jpg,3707
2024-06-09,2024-06-09 00:53:56.114,2024-06-09 01:52:59.911,4951,NGC4951, 150  187  300  335  770 2100,mast:JWST/product/jw03707-o104_t047_nircam_clear-f150w_i2d.jpg,3707
