ion,n2-n1,vacuumwavel,r.err
HI,18-6,3.6926335E+00,8.4E-07
HeII,16-10,3.7390294E+00,2.5E-06
DI,8-5,3.7395390E+00,1.6E-06
HI,8-5,3.7405565E+00,1.6E-06
DI,17-6,3.7483735E+00,8.5E-07
HI,17-6,3.7493933E+00,8.5E-07
HeII,21-11,3.7994236E+00,1.8E-06
DI,16-6,3.8184123E+00,8.7E-07
HI,16-6,3.8194512E+00,8.7E-07
DI,15-6,3.9064857E+00,8.9E-07
HI,15-6,3.9075486E+00,8.9E-07
HeII,20-11,3.9526185E+00,1.9E-06
DI,14-6,4.0197738E+00,9.1E-07
HI,14-6,4.0208675E+00,9.1E-07
HeII,10-8,4.0506090E+00,6.3E-06
DI,5-4,4.0511601E+00,4.0E-06
HI,5-4,4.0522623E+00,4.0E-06
HeII,15-10,4.1012480E+00,2.8E-06
HeII,19-11,4.1469144E+00,2.0E-06
DI,13-6,4.1696595E+00,9.5E-07
HI,13-6,4.1707940E+00,9.5E-07
HeII,12-9,4.2184239E+00,4.2E-06
HeII,25-12,4.2632554E+00,1.5E-06
HeII,24-12,4.3746685E+00,1.5E-06
DI,12-6,4.3752640E+00,1.0E-06
HI,12-6,4.3764544E+00,1.0E-06
HeII,18-11,4.4002575E+00,2.1E-06
HeII,23-12,4.5081812E+00,1.6E-06
HeII,14-10,4.6518788E+00,3.2E-06
DI,7-5,4.6525122E+00,2.1E-06
HI,7-5,4.6537781E+00,2.1E-06
HeII,22-12,4.6706020E+00,1.6E-06
DI,11-6,4.6712377E+00,1.1E-06
HI,11-6,4.6725087E+00,1.1E-06
HeII,17-11,4.7426131E+00,2.3E-06
HeII,8-7,4.7635078E+00,1.3E-05
DI,25-7,4.8463732E+00,6.5E-07
HI,25-7,4.8476918E+00,6.5E-07
HeII,21-12,4.8717901E+00,1.7E-06
DI,24-7,4.8817011E+00,6.6E-07
HI,24-7,4.8830294E+00,6.6E-07
DI,23-7,4.9223643E+00,6.6E-07
HI,23-7,4.9237036E+00,6.6E-07
DI,22-7,4.9695312E+00,6.7E-07
HI,22-7,4.9708833E+00,6.7E-07
DI,21-7,5.0247197E+00,6.8E-07
HI,21-7,5.0260868E+00,6.8E-07
DI,20-7,5.0899344E+00,6.9E-07
HI,20-7,5.0913193E+00,6.9E-07
HeII,20-12,5.1265649E+00,1.8E-06
DI,10-6,5.1272624E+00,1.2E-06
HI,10-6,5.1286575E+00,1.2E-06
DI,19-7,5.1678740E+00,7.0E-07
HI,19-7,5.1692801E+00,7.0E-07
HeII,16-11,5.2279972E+00,2.6E-06
DI,18-7,5.2622518E+00,7.1E-07
HI,18-7,5.2636836E+00,7.1E-07
HeII,25-13,5.2777153E+00,1.4E-06
DI,17-7,5.3783110E+00,7.3E-07
HI,17-7,5.3797743E+00,7.3E-07
HeII,24-13,5.4495276E+00,1.5E-06
HeII,19-12,5.4582561E+00,1.9E-06
DI,16-7,5.5236853E+00,7.5E-07
HI,16-7,5.5251882E+00,7.5E-07
HeII,13-10,5.5806039E+00,4.0E-06
HeII,11-9,5.5828208E+00,5.9E-06
HeII,23-13,5.6582738E+00,1.5E-06
