ion,n2-n1,vacuumwavel,r.err
DI,14-13,1.1182599E+02,2.3E-06
HI,14-13,1.1185641E+02,2.3E-06
HeII,22-21,1.1309940E+02,7.5E-06
DI,24-20,1.1932561E+02,5.1E-07
HI,24-20,1.1935808E+02,5.1E-07
DI,22-19,1.2948257E+02,6.8E-07
HI,22-19,1.2951780E+02,6.8E-07
HeII,23-22,1.2963831E+02,7.3E-06
DI,19-17,1.3207979E+02,1.1E-06
HI,19-17,1.3211573E+02,1.1E-06
DI,25-21,1.3654149E+02,5.0E-07
HI,25-21,1.3657864E+02,5.0E-07
DI,15-14,1.3861312E+02,2.3E-06
HI,15-14,1.3865084E+02,2.3E-06
HeII,24-23,1.4771519E+02,7.2E-06
DI,23-20,1.4951674E+02,6.6E-07
HI,23-20,1.4955742E+02,6.6E-07
DI,20-18,1.5543730E+02,1.0E-06
HI,20-18,1.5547960E+02,1.0E-06
HeII,25-24,1.6739841E+02,7.1E-06
DI,16-15,1.6936536E+02,2.2E-06
HI,16-15,1.6941144E+02,2.2E-06
DI,24-21,1.7151068E+02,6.5E-07
HI,24-21,1.7155735E+02,6.5E-07
DI,21-19,1.8139264E+02,1.0E-06
HI,21-19,1.8144199E+02,1.0E-06
DI,25-22,1.9555555E+02,6.3E-07
HI,25-22,1.9560876E+02,6.3E-07
