obsid,proposal_id,proposal_pi,target_name,instrument_name,obs_title,jpegURL,t_max,t_obs_release,dataURL
262998428,6434,"Egami, Eiichi",UNKNOWN,NIRCAM/IMAGE,SAPPHIRES: Slitless Areal Pure-Parallel High-Redshift Emission Survey,mast:JWST/product/jw06434-c1082_t000_nircam_clear-f200w_i2d.jpg,2025-05-08 17:35:35.923,2025-05-08 23:49:33.990,mast:JWST/product/jw06434-c1082_t000_nircam_clear-f200w_i2d.fits
262998401,6434,"Egami, Eiichi",UNKNOWN,NIRCAM/IMAGE,SAPPHIRES: Slitless Areal Pure-Parallel High-Redshift Emission Survey,mast:JWST/product/jw06434-c1082_t000_nircam_clear-f356w_i2d.jpg,2025-05-08 15:25:38.234,2025-05-08 22:50:36.992,mast:JWST/product/jw06434-c1082_t000_nircam_clear-f356w_i2d.fits
262999337,5893,"Kakiichi, Koki",C3D-05_CWEBTILE-5-3,NIRCAM/IMAGE,COSMOS-3D: A Legacy Spectroscopic/Imaging Survey of the Early Universe,mast:JWST/product/jw05893-o005_t005_nircam_clear-f200w_i2d.jpg,2025-05-08 12:26:39.621,2025-05-08 22:36:41.994,mast:JWST/product/jw05893-o005_t005_nircam_clear-f200w_i2d.fits
262998293,5893,"Kakiichi, Koki",C3D-05_CWEBTILE-5-3,MIRI/IMAGE,COSMOS-3D: A Legacy Spectroscopic/Imaging Survey of the Early Universe,mast:JWST/product/jw05893-o005_t005_miri_f2100w_i2d.jpg,2025-05-08 12:26:37.253,2025-05-08 22:32:11.992,mast:JWST/product/jw05893-o005_t005_miri_f2100w_i2d.fits
253965869,6572,"Costa, Allison",HENIZE2-10,MIRI/IMAGE,Constraining the Birth Conditions of Super Star Clusters in Henize 2-10,mast:JWST/product/jw06572-o001_t002_miri_f770w_i2d.jpg,2025-04-13 05:57:24.293,2025-05-08 15:08:55.994,mast:JWST/product/jw06572-o001_t002_miri_f770w_i2d.fits
262987186,4793,"Schinnerer, Eva",NGC-4548,NIRCAM/IMAGE,Unveiling the physics that govern massive star-formation in extragalactic Central Molecular Zones (eCMZs),mast:JWST/product/jw04793-o013_t013_nircam_clear-f335m_i2d.jpg,2025-05-08 01:01:52.621,2025-05-08 12:22:19.993,mast:JWST/product/jw04793-o013_t013_nircam_clear-f335m_i2d.fits
262987190,4793,"Schinnerer, Eva",NGC-4548,NIRCAM/IMAGE,Unveiling the physics that govern massive star-formation in extragalactic Central Molecular Zones (eCMZs),mast:JWST/product/jw04793-o013_t013_nircam_f405n-f444w_i2d.jpg,2025-05-08 00:23:13.455,2025-05-08 12:22:19.993,mast:JWST/product/jw04793-o013_t013_nircam_f405n-f444w_i2d.fits
262987251,4793,"Schinnerer, Eva",NGC-4548,NIRCAM/IMAGE,Unveiling the physics that govern massive star-formation in extragalactic Central Molecular Zones (eCMZs),mast:JWST/product/jw04793-o013_t013_nircam_clear-f200w_i2d.jpg,2025-05-08 02:31:31.880,2025-05-08 12:22:19.993,mast:JWST/product/jw04793-o013_t013_nircam_clear-f200w_i2d.fits
262987187,4793,"Schinnerer, Eva",NGC-4548,NIRCAM/IMAGE,Unveiling the physics that govern massive star-formation in extragalactic Central Molecular Zones (eCMZs),mast:JWST/product/jw04793-o013_t013_nircam_clear-f277w_i2d.jpg,2025-05-08 02:31:31.880,2025-05-08 12:22:19.993,mast:JWST/product/jw04793-o013_t013_nircam_clear-f277w_i2d.fits
262987188,4793,"Schinnerer, Eva",NGC-4548,NIRCAM/IMAGE,Unveiling the physics that govern massive star-formation in extragalactic Central Molecular Zones (eCMZs),mast:JWST/product/jw04793-o013_t013_nircam_clear-f444w_i2d.jpg,2025-05-08 02:05:56.457,2025-05-08 12:22:19.993,mast:JWST/product/jw04793-o013_t013_nircam_clear-f444w_i2d.fits
