Species,Transition,Lambda(mu),E_l(cm-1),Reference
OH3/2-3/2,5/2--3/2+3-2,119.234182,0.06,Varberg&Evanson1993
OH3/2-3/2,5/2--3/2+2-1,119.232438,0.06,Varberg&Evanson1993
OH3/2-3/2,5/2+-3/2-3-2,119.441669,0.00,Varberg&Evanson1993
OH3/2-3/2,5/2+-3/2-2-1,119.439806,0.00,Varberg&Evanson1993
18OH3/2-3/2,5/2+-3/2-3-2,119.9659,0.06,Combenetal.1986
18OH3/2-3/2,5/2+-3/2-2-1,119.9641,0.06,Combenetal.1986
18OH3/2-3/2,5/2--3/2+3-2,120.1726,0.00,Combenetal.1986
18OH3/2-3/2,5/2--3/2+2-1,120.1707,0.00,Combenetal.1986
o-H2O,4_32-4_23,121.7191,300.36,HITRAN
CO,21-20,124.1933521,806.38,Varberg&Evanson1992
p-H2O,4_04-3_13,125.3534,142.28,HITRAN
p-H2O,3_31-3_22,126.7126,206.30,HITRAN
CO,20-19,130.3689279,729.68,Varberg&Evanson1992
o-H2O,4_23-4_14,132.4070,224.84,HITRAN
OH1/2-3/2,7/2--9/2+4-5,134.8449,355.12,HITRAN
OH1/2-3/2,7/2--9/2+3-4,134.8476,355.12,HITRAN
OH1/2-3/2,7/2+-9/2-4-5,134.9642,355.91,HITRAN
OH1/2-3/2,7/2+-9/2-3-4,134.9696,355.91,HITRAN
o-H2O,5_14-5_05,134.9346,325.35,HITRAN
o-H2O,3_30-3_21,136.4944,212.16,HITRAN
CO,19-18,137.1963285,656.79,Varberg&Evanson1992
p-H2O,3_13-2_02,138.5272,70.09,HITRAN
p-H2O,4_13-3_22,144.5181,206.30,HITRAN
CO,18-17,144.7841891,587.72,Varberg&Evanson1992
CO,17-16,153.2667064,522.48,Varberg&Evanson1992
p-H2O,3_22-3_13,156.1930,142.28,HITRAN
p-H2O,3_31-4_04,158.3090,222.05,HITRAN
CO,16-15,162.8116263,461.05,Varberg&Evanson1992
OH1/2-1/2,3/2+-1/2-2-1,163.124275,126.45,Varberg&Evanson1993
OH1/2-1/2,3/2+-1/2-1-0,163.122481,126.45,Varberg&Evanson1993
OH1/2-1/2,3/2--1/2+2-1,163.397176,126.29,Varberg&Evanson1993
OH1/2-1/2,3/2--1/2+1-0,163.396902,126.29,Varberg&Evanson1993
CO,15-14,173.6314272,403.46,Varberg&Evanson1992
o-H2O,3_03-2_12,174.6264,79.50,HITRAN
o-H2O,2_12-1_01,179.5265,23.79,HITRAN
o-H2O,2_21-2_12,180.4880,79.50,HITRAN
o-H218O,2_12-1_01,181.051,23.76,HITRAN
CO,14-13,185.9992957,349.70,Varberg&Evanson1992
p-H2O,4_13-4_04,187.1104,222.05,HITRAN
