,file,x,y
89,Moris20220927/mor.2022B026.220927.DART2.00090.a.fits,301,323
90,Moris20220927/mor.2022B026.220927.DART2.00091.a.fits,302,324
91,Moris20220927/mor.2022B026.220927.DART2.00092.a.fits,300,327
92,Moris20220927/mor.2022B026.220927.DART2.00093.a.fits,300,328
93,Moris20220927/mor.2022B026.220927.DART2.00094.a.fits,298,326
94,Moris20220927/mor.2022B026.220927.DART2.00095.a.fits,300,326
95,Moris20220927/mor.2022B026.220927.DART2.00096.a.fits,299,324
96,Moris20220927/mor.2022B026.220927.DART2.00097.a.fits,300,324
97,Moris20220927/mor.2022B026.220927.DART2.00098.a.fits,300,324
98,Moris20220927/mor.2022B026.220927.DART2.00099.a.fits,300,326
99,Moris20220927/mor.2022B026.220927.DART2.00100.a.fits,299,327
100,Moris20220927/mor.2022B026.220927.DART2.00101.a.fits,298,326
101,Moris20220927/mor.2022B026.220927.DART2.00102.a.fits,300,326
102,Moris20220927/mor.2022B026.220927.DART2.00103.a.fits,298,325
103,Moris20220927/mor.2022B026.220927.DART2.00104.a.fits,297,325
104,Moris20220927/mor.2022B026.220927.DART2.00105.a.fits,298,325
105,Moris20220927/mor.2022B026.220927.DART2.00106.a.fits,298,325
106,Moris20220927/mor.2022B026.220927.DART2.00107.a.fits,300,325
107,Moris20220927/mor.2022B026.220927.DART2.00108.a.fits,299,324
108,Moris20220927/mor.2022B026.220927.DART2.00109.a.fits,298,325
109,Moris20220927/mor.2022B026.220927.DART2.00110.a.fits,299,326
110,Moris20220927/mor.2022B026.220927.DART2.00111.a.fits,300,325
111,Moris20220927/mor.2022B026.220927.DART2.00112.a.fits,299,327
112,Moris20220927/mor.2022B026.220927.DART2.00113.a.fits,299,327
113,Moris20220927/mor.2022B026.220927.DART2.00114.a.fits,300,326
114,Moris20220927/mor.2022B026.220927.DART2.00115.a.fits,301,325
115,Moris20220927/mor.2022B026.220927.DART2.00116.a.fits,299,325
116,Moris20220927/mor.2022B026.220927.DART2.00117.a.fits,299,324
117,Moris20220927/mor.2022B026.220927.DART2.00118.a.fits,298,325
118,Moris20220927/mor.2022B026.220927.DART2.00119.a.fits,298,326
119,Moris20220927/mor.2022B026.220927.DART2.00120.a.fits,299,327
120,Moris20220927/mor.2022B026.220927.DART2.00121.a.fits,301,325
121,Moris20220927/mor.2022B026.220927.DART2.00122.a.fits,300,325
122,Moris20220927/mor.2022B026.220927.DART2.00123.a.fits,299,327
123,Moris20220927/mor.2022B026.220927.DART2.00124.a.fits,298,327
124,Moris20220927/mor.2022B026.220927.DART2.00125.a.fits,297,327
125,Moris20220927/mor.2022B026.220927.DART2.00126.a.fits,297,326
126,Moris20220927/mor.2022B026.220927.DART2.00127.a.fits,296,327
127,Moris20220927/mor.2022B026.220927.DART2.00128.a.fits,297,325
128,Moris20220927/mor.2022B026.220927.DART2.00129.a.fits,298,326
129,Moris20220927/mor.2022B026.220927.DART2.00130.a.fits,299,326
130,Moris20220927/mor.2022B026.220927.DART2.00131.a.fits,298,326
131,Moris20220927/mor.2022B026.220927.DART2.00132.a.fits,298,325
132,Moris20220927/mor.2022B026.220927.DART2.00133.a.fits,296,325
133,Moris20220927/mor.2022B026.220927.DART2.00134.a.fits,297,326
134,Moris20220927/mor.2022B026.220927.DART2.00135.a.fits,298,326
135,Moris20220927/mor.2022B026.220927.DART2.00136.a.fits,300,326
136,Moris20220927/mor.2022B026.220927.DART2.00137.a.fits,298,326
137,Moris20220927/mor.2022B026.220927.DART2.00138.a.fits,298,325
138,Moris20220927/mor.2022B026.220927.DART2.00139.a.fits,299,325
139,Moris20220927/mor.2022B026.220927.DART2.00140.a.fits,299,326
140,Moris20220927/mor.2022B026.220927.DART2.00141.a.fits,299,325
