file,x,y,peak,sky,airmass,filter,time
Moris20220926/mor.2022B026.220926.DART1.00118.a.fits,277,330,449,201.630859375,1.681,Johnson_V,13:36:59.300912
Moris20220926/mor.2022B026.220926.DART1.00119.a.fits,278,328,511,201.6171875,1.681,Johnson_V,13:37:05.813078
Moris20220926/mor.2022B026.220926.DART1.00120.a.fits,278,331,545,201.625,1.682,Johnson_V,13:37:12.311446
Moris20220926/mor.2022B026.220926.DART1.00121.a.fits,277,330,472,201.560546875,1.682,Johnson_V,13:37:18.804288
Moris20220926/mor.2022B026.220926.DART1.00122.a.fits,277,330,474,201.634765625,1.682,Johnson_V,13:37:25.303065
Moris20220926/mor.2022B026.220926.DART1.00123.a.fits,277,331,530,201.63671875,1.682,Johnson_V,13:37:31.800547
Moris20220926/mor.2022B026.220926.DART1.00124.a.fits,277,330,560,201.71875,1.682,Johnson_V,13:37:38.291706
Moris20220926/mor.2022B026.220926.DART1.00125.a.fits,276,331,527,201.5703125,1.682,Johnson_V,13:37:44.771876
Moris20220926/mor.2022B026.220926.DART1.00126.a.fits,276,330,476,201.62890625,1.682,Johnson_V,13:37:51.262015
Moris20220926/mor.2022B026.220926.DART1.00127.a.fits,276,331,446,201.673828125,1.682,Johnson_V,13:37:57.752930
Moris20220926/mor.2022B026.220926.DART1.00128.a.fits,277,331,430,201.578125,1.682,Johnson_V,13:38:04.242621
Moris20220926/mor.2022B026.220926.DART1.00129.a.fits,277,331,462,201.60546875,1.682,Johnson_V,13:38:10.742229
Moris20220926/mor.2022B026.220926.DART1.00130.a.fits,276,330,508,201.591796875,1.682,Johnson_V,13:38:17.231232
Moris20220926/mor.2022B026.220926.DART1.00131.a.fits,277,330,459,201.455078125,1.682,Johnson_V,13:38:23.762211
Moris20220926/mor.2022B026.220926.DART1.00132.a.fits,277,331,431,201.609375,1.682,Johnson_V,13:38:30.262481
Moris20220926/mor.2022B026.220926.DART1.00133.a.fits,278,330,469,201.591796875,1.683,Johnson_V,13:38:36.789233
Moris20220926/mor.2022B026.220926.DART1.00134.a.fits,277,330,477,201.64453125,1.683,Johnson_V,13:38:43.300961
Moris20220926/mor.2022B026.220926.DART1.00135.a.fits,277,330,458,201.673828125,1.683,Johnson_V,13:38:49.801397
Moris20220926/mor.2022B026.220926.DART1.00136.a.fits,277,331,482,201.546875,1.683,Johnson_V,13:38:56.321513
Moris20220926/mor.2022B026.220926.DART1.00137.a.fits,277,330,438,201.666015625,1.683,Johnson_V,13:39:02.812492
Moris20220926/mor.2022B026.220926.DART1.00138.a.fits,277,330,428,201.55859375,1.683,Johnson_V,13:39:09.292289
Moris20220926/mor.2022B026.220926.DART1.00139.a.fits,276,330,455,201.69140625,1.683,Johnson_V,13:39:15.811591
Moris20220926/mor.2022B026.220926.DART1.00140.a.fits,277,331,450,201.599609375,1.683,Johnson_V,13:39:22.321399
Moris20220926/mor.2022B026.220926.DART1.00141.a.fits,276,330,486,201.630859375,1.683,Johnson_V,13:39:28.831236
Moris20220926/mor.2022B026.220926.DART1.00142.a.fits,276,329,428,201.6015625,1.683,Johnson_V,13:39:35.311267
Moris20220926/mor.2022B026.220926.DART1.00143.a.fits,212,331,468,201.560546875,1.684,Johnson_V,13:39:41.801662
Moris20220926/mor.2022B026.220926.DART1.00144.a.fits,213,331,492,201.580078125,1.684,Johnson_V,13:39:48.281201
Moris20220926/mor.2022B026.220926.DART1.00145.a.fits,212,330,465,201.541015625,1.684,Johnson_V,13:39:54.782009
Moris20220926/mor.2022B026.220926.DART1.00146.a.fits,212,332,462,201.568359375,1.684,Johnson_V,13:40:01.270797
Moris20220926/mor.2022B026.220926.DART1.00147.a.fits,212,330,432,201.615234375,1.684,Johnson_V,13:40:07.761291
Moris20220926/mor.2022B026.220926.DART1.00148.a.fits,211,330,467,201.67578125,1.684,Johnson_V,13:40:14.279998
